appverbobraga-web  |   from authlib.jose import ECKey
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:48772 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:40056 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:40056 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:40056 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:40056 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:39586 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:39586 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:39586 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:39586 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:39586 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:39586 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:39586 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:47678 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:56976 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:53662 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:35698 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:35698 - "GET /users/new?menu=administrativo&admin_tab=menu HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:35698 - "GET /static/css/modules/admin_table_search_v1.css?v=20260506-admin-table-search-v2 HTTP/1.1" 304 Not Modified
appverbobraga-web  | INFO:     172.19.0.1:35704 - "GET /static/css/modules/admin_subprocesses_v1.css?v=20260506-sessoes-inativas-delete-icon-v2 HTTP/1.1" 304 Not Modified
appverbobraga-web  | INFO:     172.19.0.1:35704 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:35704 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:32802 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
appverbobraga-web  | INFO:     172.19.0.1:32802 - "GET /settings/menu/sidebar-refresh-version HTTP/1.1" 200 OK
